id	content	label
subtask1_train_56	USER USER من الفيسبوك وتويتر بس ماتغيرت ضلت تتكرر صراحه انا مارضيت اطلع مكان قلت رح تكون قويه الحلقه ندمت اني حضرتها	Jordan
subtask1_train_57	#حياتنا_بدها الله يتطلف فينا ويبعتلنا شي نيزك محرز	Syria
subtask1_train_58	ان جن ربعك عقلك ما بنفعك	Jordan
subtask1_train_59	USER كلام في الصميم والمصيبه الاكبر ان ابوهم ناقص كان يدعي انه من اصول يمنيه	Yemen
subtask1_train_60	#حمص #تيرمعله براميل متفجر علئ احياء القريه URL	Syria
subtask1_train_61	USER ديلا هسه صار وقت الحلويات URL URL	Iraq
subtask1_train_62	عين الله ترعاك ياللي عن بالي ماتغيب	Kuwait
subtask1_train_63	كل مره يتغير ملك او امير في الخليج تهبط سنريوات الانقلاب و URL كلو كلام فارغ و موجه للاستهلاك الاعلامي و URL URL	Tunisia
subtask1_train_64	زعمه ولادنا علاش ما يعملوش هكا زعمه علاش URL	Tunisia
subtask1_train_65	ماما سوزي في عالم بدون يعملو السبرايز بيرذدي تبعك يوم السبت وفي عالم بدون الاحد اي واحد بتفضلي انا ايمت مابدون بس ضروري انا كون حاضره	Syria
subtask1_train_66	ژ به رهه ڤركنا من D باشترین رێك بو خو پاراست ژ هاكه ران دزیكه رێن ڤه یسبوكی من بخو یێ خو ێێ URL URL	Iraq
subtask1_train_67	USER قمه الاستهتار بصحه التوانسه خاصه الاطفال الشركات هذي تعرف مليح انها محميه من اجهزه رقابه فاسده واعلام فاسد ينحني امام اموال	Tunisia
subtask1_train_68	ربي يفرج علينا بس مش انتم لا هما	Libya
subtask1_train_69	كل يوم قصه جديده عن اضطهاد الاطباء في مستشفيات مصر و تخويفهم و ضربهم و حبسهم و عزلهم من المهنه في مقابل مرتبات متتعداش ال NUM دولار شهريا ع الجانب الاخر تخيلوا لو هم هيتعاملوا مع الشعب بنفس المبدا و سابوا اماكنهم لمده NUM ساعه بس هيحصل فيهم ايه	Egypt
subtask1_train_70	USER USER ونعم وسبع انعام بيض الله ويهك يا ولد الصباح	UAE
subtask1_train_71	USER الله يحميه احسن سفيير #محمد_عساف	Palestine
subtask1_train_72	USER علي اساس انه خايفين علي مصالح المواطنين يعني احكوا اشي يتصدق ماشي معاليك	Jordan
subtask1_train_73	القهوه احيانن تجيب الغثيان	Saudi_Arabia
subtask1_train_74	USER بما انك عم تسال عن ناس من سالف العصر والزمان بتعرفلي ناصر قنديل شو وضعو شو اخبارو وين صار	Lebanon
subtask1_train_75	حد شاف الريال يا جماعه هه	Palestine
subtask1_train_76	شاب مازي هذه علاقتي بالشابه صباح ودوكا لا اتصال معاها cheba sabah URL	Algeria
subtask1_train_77	المولوديه توجور في العالي افضل ماتش في دوري حمد الله لعب و فيكتوار	Algeria
subtask1_train_78	حسن العراقي يكول حديث الحرب خدعه مو مال النبي خمط المنشورات طلع من زماان URL	Iraq
subtask1_train_79	USER ان شاء الله يهرب الضي	Libya
subtask1_train_80	USER عااجل السلمانيه تصرح بضحايا تمرد البحرين NUM اصابه بالاكتاب NUM اصابه بخيبه الامل NUM شهيد ماتو من الضحك وشكلي بالحقهم #bh	Bahrain
subtask1_train_81	USER USER عندك الحق داكشي عندهم مفروش بزاف مستوي ديال الهواه كون بنكيران ما اعتزلش كون زاد عاود طحنهوم ها المره الله يكون فعوان المغاربه	Morocco
subtask1_train_82	خروب الشام حول جوالك الي اي فون مع هذا الثيم Iphone URL URL	Syria
subtask1_train_83	احيانا استسخف نفسي عشان كيه	Oman
subtask1_train_84	USER الموضوع بسيط URL مافيه خير لامو مافي خير لبلدو اذا مؤيد او معارض	Syria
subtask1_train_85	USER اول شي بتسمعو لما بتجيك مكالمه مصر ازيك السودان السلام عليكم لبنان كيفك السعوديه شلونك فلسطين لقد طلب المتصل ان تكون ال	Palestine
subtask1_train_86	وكل ما بنصحي بكونو طلعو قرار جديد للامتحانات و تاجيلها	Jordan
subtask1_train_87	نرجعو للجامع المعلق الناس الكل في بالها والتراث راسل البلديه خاطر ما عندوش امن باش يمشي يوقف الاشغال البنايه الي قاعده تتبنا في صبره المنصريه علي قارعه الطريق ايضا السلط تمت مراسلتها البلديه يلزمها توقف URL URL	Tunisia
subtask1_train_88	بتحضري مسرحيات نعم بس مو كتير URL	Jordan
subtask1_train_89	USER الخبر نفس الخبر مابش مره ترجع ذكر	Yemen
subtask1_train_90	USER انت كذاب اشر وكلما دق خشومكم ومرمطكم الحوثي تبحثون عن طريق الهروب من الواقع وتظليل شعوبكم وتعليق هزائمكم علي قطر لو د	Qatar
subtask1_train_91	USER قولو لسوسو تلبس القفطان و هوبا يلبس جزائري بغيتهم يفقصو العديان #Ihabamir #Souhilabenlachhab #Staracarabia	Algeria
subtask1_train_92	USER يا جماعه الجو في مسقط طبيعي ولا نحن حاليا في تركيا ولا كيف الوضع مسقط NUM c	Oman
subtask1_train_93	USER USER الريال ممكن يغير مركزو باسبوع اثنين شهر بالكثير انت كم تحتاج لتوصل NUM ليغا	Morocco
subtask1_train_94	#طلعت ريحتكم #كلن يعني كلن #بدنا نعيش بكرامه #استعمل عقلك شوي بصير في وعي يا شعبي URL	Lebanon
subtask1_train_95	USER انتي ليش مب راقده	UAE
subtask1_train_96	هندوسي ياعباد الله هندوسي واحد يهنيه بالكريسميس رد عليه قاله انا هندوو مش مسيحي وبعض المسلمين يمكنا كل URL URL	Yemen
subtask1_train_97	USER مبقناش عارفين نقول اللي جوانا زي الاول حتي هنا ومساحات الحريه اللي ممكن تخرج فيها اللي جوانا عماله تضيق علينا	Egypt
subtask1_train_98	USER نهبل ولا واش URL كلما نشوفها نموت بالبكا #نطالب_بعوده_سهيله URL	Algeria
subtask1_train_99	USER فهمت كل الناس الا اللي يقولك برايهن درجاتي بشوفهن بعدين انا اتحرقص لين ما افتحهن ذيك الساعه كنها هديه	Oman
